name,artist,performance,chroma,mode,onsets,length,onsetrate
Bach_WTC1_Newman_Prelude_10_Major (H1).wav,Newman,H1,10,Major,205,27.5269841269841,7.44723791950179
Bach_WTC1_Newman_Prelude_10_Major (H3).wav,Newman,H3,10,Major,198,27.29,7.25540491022353
Bach_WTC1_Newman_Prelude_10_Major (P2).wav,Newman,P2,10,Major,139,24.7959863945578,5.60574593759688
Bach_WTC1_Newman_Prelude_10_Minor (H1).wav,Newman,H1,10,Minor,117,55.3509977324263,2.11378303541325
Bach_WTC1_Newman_Prelude_10_Minor (H3).wav,Newman,H3,10,Minor,147,48.06,3.05867665418227
Bach_WTC1_Newman_Prelude_10_Minor (P2).wav,Newman,P2,10,Minor,143,51.0819954648526,2.79942078806205
Bach_WTC1_Newman_Prelude_11_Major (H1).wav,Newman,H1,11,Major,155,30.04,5.15978695073236
Bach_WTC1_Newman_Prelude_11_Major (H3).wav,Newman,H3,11,Major,133,27.2389795918367,4.88270860336702
Bach_WTC1_Newman_Prelude_11_Major (P2).wav,Newman,P2,11,Major,131,29.1229931972789,4.49816401468788
Bach_WTC1_Newman_Prelude_11_Minor (H1).wav,Newman,H1,11,Minor,92,17.1939909297052,5.35070655650144
Bach_WTC1_Newman_Prelude_11_Minor (H3).wav,Newman,H3,11,Minor,72,18.0579818594104,3.98715651397552
Bach_WTC1_Newman_Prelude_11_Minor (P2).wav,Newman,P2,11,Minor,58,23.84,2.43288590604027
Bach_WTC1_Newman_Prelude_1_Major (H1).wav,Newman,H1,1,Major,63,7.27199546485261,8.66337173950327
Bach_WTC1_Newman_Prelude_1_Major (H3).wav,Newman,H3,1,Major,52,7.93299319727891,6.55490288556361
Bach_WTC1_Newman_Prelude_1_Major (P2).wav,Newman,P2,1,Major,44,7.1309977324263,6.17024456478534
Bach_WTC1_Newman_Prelude_1_Minor (H1).wav,Newman,H1,1,Minor,119,29.0519954648526,4.09610417790294
Bach_WTC1_Newman_Prelude_1_Minor (H3).wav,Newman,H3,1,Minor,125,27.5009977324263,4.54528963698699
Bach_WTC1_Newman_Prelude_1_Minor (P2).wav,Newman,P2,1,Minor,84,30.8549886621315,2.72241227892894
Bach_WTC1_Newman_Prelude_2_Major (H1).wav,Newman,H1,2,Major,138,17.2289569160998,8.00977103094642
Bach_WTC1_Newman_Prelude_2_Major (H3).wav,Newman,H3,2,Major,154,24.0769841269841,6.39614991594423
Bach_WTC1_Newman_Prelude_2_Major (P2).wav,Newman,P2,2,Major,83,15.2549886621315,5.44084311291797
Bach_WTC1_Newman_Prelude_2_Minor (H1).wav,Newman,H1,2,Minor,188,25.0259863945578,7.51219140920186
Bach_WTC1_Newman_Prelude_2_Minor (H3).wav,Newman,H3,2,Minor,146,24.78,5.89184826472962
Bach_WTC1_Newman_Prelude_2_Minor (P2).wav,Newman,P2,2,Minor,105,19.5149886621315,5.38047968245816
Bach_WTC1_Newman_Prelude_3_Major (H1).wav,Newman,H1,3,Major,159,33.8169841269841,4.7017794195647
Bach_WTC1_Newman_Prelude_3_Major (H3).wav,Newman,H3,3,Major,163,31.54,5.16804058338618
Bach_WTC1_Newman_Prelude_3_Major (P2).wav,Newman,P2,3,Major,98,24.1809977324263,4.05276908274896
Bach_WTC1_Newman_Prelude_3_Minor (H1).wav,Newman,H1,3,Minor,103,44.4439909297052,2.31752364820049
Bach_WTC1_Newman_Prelude_3_Minor (H3).wav,Newman,H3,3,Minor,104,34.3339909297052,3.0290681969634
Bach_WTC1_Newman_Prelude_3_Minor (P2).wav,Newman,P2,3,Minor,74,37.3619954648526,1.98062226279144
Bach_WTC1_Newman_Prelude_4_Major (H1).wav,Newman,H1,4,Major,121,25.1449886621315,4.81209204847352
Bach_WTC1_Newman_Prelude_4_Major (H3).wav,Newman,H3,4,Major,118,22.7859863945578,5.17862154206249
Bach_WTC1_Newman_Prelude_4_Major (P2).wav,Newman,P2,4,Major,87,23.4,3.71794871794872
