,filename,mirmode_essentia-cqt,mirmode_essentia-sftf,mirmode_MIRtoolbox-std,mirmode_MIRtoolbox-dir,mirmode_librosa-cqt,mirmode_librosa-stft,mirmode_librosa-cens,mirmode_librosa-vqt
0,audio/bachDemaria2015/Bach_1_De-Maria_9_Major_bachDemaria2015.wav,0.001047614,-0.144956716,0.02103697,0.02103697,0.115413871,0.022424642,0.110639199,-0.010012576
0,audio/bachDemaria2015/Bach_1_De-Maria_9_minor_bachDemaria2015.wav,-0.090731615,-0.233030523,-0.251464349,-0.251464349,-0.304899445,-0.142368163,-0.292771607,-0.202523059
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_Major_bachDemaria2015Deadpan.wav,0.113327618,0.132329673,-0.046783157,-0.046783157,0.228424015,0.212014803,0.214107062,0.123207968
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_minor_bachDemaria2015Deadpan.wav,0.075448785,0.011909429,0.184105027,0.184105026,0.019385027,0.081146143,-0.015684015,0.067784215
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_Major_bachDemaria2015Deadpan.wav,0.017772606,0.09666248,-0.028789314,-0.028789314,0.033227646,-0.154530301,0.012321252,0.000893983
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_minor_bachDemaria2015Deadpan.wav,-0.139242967,-0.283455683,-0.21565672,-0.21565672,-0.27872333,-0.242042268,-0.25777548,-0.21737654
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_Major_bachDemaria2015Deadpan.wav,-0.17980547,-0.142143484,-0.175171616,-0.175171617,-0.110803406,-0.107252736,-0.120075097,-0.170939793
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_minor_bachDemaria2015Deadpan.wav,-0.004974566,0.290534311,0.237310978,0.237310978,0.089715586,0.138531851,0.084925514,0.103670292
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_Major_bachDemaria2015Deadpan.wav,0.175670357,0.131408133,0.18237716,0.182377159,0.216039353,0.188229225,0.237212631,0.172056127
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_minor_bachDemaria2015Deadpan.wav,-0.140405824,0.029901772,-0.207298777,-0.207298778,-0.032592216,-0.033546351,-0.056498623,-0.110121179
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_Major_bachDemaria2015Deadpan.wav,-0.006976549,0.235056589,0.277883595,0.277883594,0.111229043,0.0478684,0.047618004,0.076931914
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_minor_bachDemaria2015Deadpan.wav,-0.128173925,-0.079625627,0.109867035,0.109867034,-0.095697803,-0.290041261,-0.088025872,-0.156861777
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_Major_bachDemaria2015Deadpan.wav,0.120724838,0.211505985,0.241281101,0.2412811,0.246412636,0.200834688,0.25485768,0.183188054
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_minor_bachDemaria2015Deadpan.wav,-0.033086466,-0.240365291,-0.101823307,-0.101823308,-0.228351001,-0.250679809,-0.209836276,-0.122686974
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_Major_bachDemaria2015Deadpan.wav,0.119479494,0.21186651,0.231983433,0.231983433,0.257861257,0.188701789,0.231183187,0.149779793
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_minor_bachDemaria2015Deadpan.wav,-0.143700083,-0.228262688,-0.184440919,-0.184440918,0.023051972,0.032623147,0.003522553,-0.214517653
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_Major_bachDemaria2015Deadpan.wav,-0.093281049,-0.04397183,-0.081339516,-0.081339518,-0.073331326,-0.262312733,-0.083023974,-0.12601733
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_minor_bachDemaria2015Deadpan.wav,-0.063373871,-0.164312286,-0.044154894,-0.044154894,-0.135227514,-0.097419081,-0.139548393,-0.186135876
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_Major_bachDemaria2015Deadpan.wav,0.043434448,0.101742301,0.171484022,0.171484022,0.184983391,0.107756613,0.197734827,0.082509455
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_minor_bachDemaria2015Deadpan.wav,0.046791636,0.228658778,0.212537387,0.212537386,0.071948318,0.017389202,0.036702873,0.072813095
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_Major_bachDemaria2015Deadpan.wav,0.042199477,0.093379371,0.240284233,0.240284234,0.284092521,0.201252179,0.302435625,0.130642011
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_minor_bachDemaria2015Deadpan.wav,-0.118306039,0.152616315,0.047350093,0.047350093,-0.05488875,0.036101653,-0.090333477,-0.121777939
