,filename,onsets_essentia-hfc,onsets_essentia-complex,onsets_essentia-phase,onsets_essentia-flux,onsets_essentia-melflux,onsets_essentia-rms,onsets_MIRtoolbox-std,onsets_librosa-std
0,audio/bachDemaria2015/Bach_1_De-Maria_6_minor_bachDemaria2015.wav,69,106,93,102,128,140,97,124
0,audio/bachDemaria2015/Bach_1_De-Maria_7_Major_bachDemaria2015.wav,71,134,119,135,179,167,135,114
0,audio/bachDemaria2015/Bach_1_De-Maria_7_minor_bachDemaria2015.wav,143,194,269,205,290,319,235,245
0,audio/bachDemaria2015/Bach_1_De-Maria_8_Major_bachDemaria2015.wav,56,55,56,56,92,66,55,56
0,audio/bachDemaria2015/Bach_1_De-Maria_8_minor_bachDemaria2015.wav,67,85,72,88,115,135,88,91
0,audio/bachDemaria2015/Bach_1_De-Maria_9_Major_bachDemaria2015.wav,81,114,79,119,139,131,101,125
0,audio/bachDemaria2015/Bach_1_De-Maria_9_minor_bachDemaria2015.wav,53,86,74,86,116,110,88,95
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_Major_bachDemaria2015Deadpan.wav,91,129,117,137,172,159,131,129
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_0_minor_bachDemaria2015Deadpan.wav,78,128,112,126,129,144,123,128
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_Major_bachDemaria2015Deadpan.wav,72,180,165,150,228,222,180,231
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_10_minor_bachDemaria2015Deadpan.wav,88,90,150,99,226,171,105,88
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_Major_bachDemaria2015Deadpan.wav,94,125,124,122,136,173,153,127
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_11_minor_bachDemaria2015Deadpan.wav,58,66,109,67,100,132,87,66
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_Major_bachDemaria2015Deadpan.wav,28,39,38,39,47,53,48,48
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_1_minor_bachDemaria2015Deadpan.wav,73,80,101,81,139,108,86,78
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_Major_bachDemaria2015Deadpan.wav,69,117,102,106,122,122,111,126
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_2_minor_bachDemaria2015Deadpan.wav,104,154,148,151,180,188,166,175
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_Major_bachDemaria2015Deadpan.wav,110,143,149,141,168,204,167,144
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_3_minor_bachDemaria2015Deadpan.wav,50,52,73,63,152,134,94,50
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_Major_bachDemaria2015Deadpan.wav,94,98,124,100,134,139,125,97
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_4_minor_bachDemaria2015Deadpan.wav,126,137,197,137,155,240,172,136
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_Major_bachDemaria2015Deadpan.wav,97,164,167,162,193,215,191,191
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_5_minor_bachDemaria2015Deadpan.wav,122,132,184,134,197,250,164,131
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_Major_bachDemaria2015Deadpan.wav,89,97,119,98,123,133,110,97
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_6_minor_bachDemaria2015Deadpan.wav,69,120,108,115,126,136,118,126
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_Major_bachDemaria2015Deadpan.wav,77,152,136,144,183,183,153,183
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_7_minor_bachDemaria2015Deadpan.wav,135,150,207,159,232,278,193,149
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_8_Major_bachDemaria2015Deadpan.wav,46,57,59,57,71,71,60,56
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_8_minor_bachDemaria2015Deadpan.wav,80,90,92,92,123,143,107,90
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_9_Major_bachDemaria2015Deadpan.wav,96,126,125,126,127,170,127,124
0,audio/bachDemaria2015Deadpan/Bach_1_De-Maria_9_minor_bachDemaria2015Deadpan.wav,63,87,89,86,114,107,109,107
0,audio/bachDemus1970/Bach_1_Demus_0_Major_bachDemus1970.wav,79,129,134,142,171,203,125,121
0,audio/bachDemus1970/Bach_1_Demus_0_minor_bachDemus1970.wav,48,114,97,112,132,123,94,124
0,audio/bachDemus1970/Bach_1_Demus_10_Major_bachDemus1970.wav,89,182,163,176,222,211,173,171
0,audio/bachDemus1970/Bach_1_Demus_10_minor_bachDemus1970.wav,89,93,139,106,255,159,111,88
0,audio/bachDemus1970/Bach_1_Demus_11_Major_bachDemus1970.wav,75,127,125,128,158,168,112,121
0,audio/bachDemus1970/Bach_1_Demus_11_minor_bachDemus1970.wav,39,67,55,76,117,53,39,59
0,audio/bachDemus1970/Bach_1_Demus_1_Major_bachDemus1970.wav,31,46,37,43,49,42,39,41
0,audio/bachDemus1970/Bach_1_Demus_1_minor_bachDemus1970.wav,77,93,91,101,167,125,75,93
0,audio/bachDemus1970/Bach_1_Demus_2_Major_bachDemus1970.wav,78,119,95,117,130,127,106,126
0,audio/bachDemus1970/Bach_1_Demus_2_minor_bachDemus1970.wav,103,177,150,168,197,202,169,189
0,audio/bachDemus1970/Bach_1_Demus_3_Major_bachDemus1970.wav,91,140,104,136,171,155,116,142
0,audio/bachDemus1970/Bach_1_Demus_3_minor_bachDemus1970.wav,65,82,78,92,201,124,67,79
0,audio/bachDemus1970/Bach_1_Demus_4_Major_bachDemus1970.wav,82,105,102,108,149,128,87,106
0,audio/bachDemus1970/Bach_1_Demus_4_minor_bachDemus1970.wav,96,172,73,175,244,129,83,170
0,audio/bachDemus1970/Bach_1_Demus_5_Major_bachDemus1970.wav,88,158,161,159,200,224,171,140
0,audio/bachDemus1970/Bach_1_Demus_5_minor_bachDemus1970.wav,101,136,118,142,204,158,105,145
0,audio/bachDemus1970/Bach_1_Demus_6_Major_bachDemus1970.wav,74,111,115,117,160,113,98,122
0,audio/bachDemus1970/Bach_1_Demus_6_minor_bachDemus1970.wav,81,114,117,109,134,148,115,119
0,audio/bachDemus1970/Bach_1_Demus_7_Major_bachDemus1970.wav,67,125,109,121,165,162,119,100
0,audio/bachDemus1970/Bach_1_Demus_7_minor_bachDemus1970.wav,141,197,237,207,308,292,199,212
0,audio/bachDemus1970/Bach_1_Demus_8_Major_bachDemus1970.wav,55,59,57,64,117,70,60,57
0,audio/bachDemus1970/Bach_1_Demus_8_minor_bachDemus1970.wav,74,92,95,94,141,152,89,92
0,audio/bachDemus1970/Bach_1_Demus_9_Major_bachDemus1970.wav,75,122,81,121,136,125,95,125
0,audio/bachDemus1970/Bach_1_Demus_9_minor_bachDemus1970.wav,80,99,71,98,141,109,85,110
0,audio/bachFischer1934/Bach_1_Fischer_0_Major_bachFischer1934.wav,57,108,97,114,139,144,114,159
0,audio/bachFischer1934/Bach_1_Fischer_0_minor_bachFischer1934.wav,51,83,95,72,127,118,97,113
0,audio/bachFischer1934/Bach_1_Fischer_10_Major_bachFischer1934.wav,43,96,123,100,139,141,118,205
0,audio/bachFischer1934/Bach_1_Fischer_10_minor_bachFischer1934.wav,92,115,111,142,291,152,126,290
0,audio/bachFischer1934/Bach_1_Fischer_11_Major_bachFischer1934.wav,23,105,144,121,162,191,134,185
0,audio/bachFischer1934/Bach_1_Fischer_11_minor_bachFischer1934.wav,43,68,89,71,132,127,86,85
0,audio/bachFischer1934/Bach_1_Fischer_1_Major_bachFischer1934.wav,17,47,33,49,52,46,42,63
0,audio/bachFischer1934/Bach_1_Fischer_1_minor_bachFischer1934.wav,53,87,108,95,177,140,119,133
0,audio/bachFischer1934/Bach_1_Fischer_2_Major_bachFischer1934.wav,43,91,85,91,121,115,100,116
0,audio/bachFischer1934/Bach_1_Fischer_2_minor_bachFischer1934.wav,32,125,143,125,170,173,155,197
0,audio/bachFischer1934/Bach_1_Fischer_3_Major_bachFischer1934.wav,68,109,122,111,155,174,153,108
0,audio/bachFischer1934/Bach_1_Fischer_3_minor_bachFischer1934.wav,39,84,95,102,183,84,54,204
0,audio/bachFischer1934/Bach_1_Fischer_4_Major_bachFischer1934.wav,49,92,84,92,106,116,82,104
0,audio/bachFischer1934/Bach_1_Fischer_4_minor_bachFischer1934.wav,55,127,167,139,178,226,146,121
0,audio/bachFischer1934/Bach_1_Fischer_5_Major_bachFischer1934.wav,57,96,114,87,142,158,115,106
0,audio/bachFischer1934/Bach_1_Fischer_5_minor_bachFischer1934.wav,76,120,142,136,171,227,144,147
0,audio/bachFischer1934/Bach_1_Fischer_6_Major_bachFischer1934.wav,26,65,85,71,97,107,72,117
0,audio/bachFischer1934/Bach_1_Fischer_6_minor_bachFischer1934.wav,59,85,101,79,124,124,98,101
