composer,set,setCode,pieceNumber,compSet,keyName,mode,keyChroma,pieceID,snippitName,,pieceTitle,excerptID,pickUpLength,notes
Kalkbrenner,2,kalkbrenner-2,10,kalkbrenner2.10,E,minor,4,m4,kalkbren2.4min,,,357,,
Kalkbrenner,2,kalkbrenner-2,11,kalkbrenner2.11,F,Major,5,M5,kalkbren2.5maj,,,358,,
Kalkbrenner,2,kalkbrenner-2,12,kalkbrenner2.12,F,minor,5,m5,kalkbren2.5min,,,359,,
Kalkbrenner,2,kalkbrenner-2,13,kalkbrenner2.13,F#,Major,6,M6,kalkbren2.6maj,,,360,,
Kalkbrenner,2,kalkbrenner-2,14,kalkbrenner2.14,F#,minor,6,m6,kalkbren2.6min,,,361,,
Kalkbrenner,2,kalkbrenner-2,15,kalkbrenner2.15,G,Major,7,M7,kalkbren2.7maj,,,362,0.5,
Kalkbrenner,2,kalkbrenner-2,16,kalkbrenner2.16,G,minor,7,m7,kalkbren2.7min,,,363,,
Kalkbrenner,2,kalkbrenner-2,17,kalkbrenner2.17,Ab,Major,8,M8,kalkbren2.8maj,,,364,,
Kalkbrenner,2,kalkbrenner-2,18,kalkbrenner2.18,G#,minor,8,m8,kalkbren2.8min,,,365,,
Kalkbrenner,2,kalkbrenner-2,19,kalkbrenner2.19,A,Major,9,M9,kalkbren2.9maj,,,366,,
Kalkbrenner,2,kalkbrenner-2,20,kalkbrenner2.20,A,minor,9,m9,kalkbren2.9min,,,367,,
Kalkbrenner,2,kalkbrenner-2,21,kalkbrenner2.21,Bb,Major,10,M10,kalkbren2.10maj,,,368,,
Kalkbrenner,2,kalkbrenner-2,22,kalkbrenner2.22,Bb,minor,10,m10,kalkbren2.10min,,,369,,
Kalkbrenner,2,kalkbrenner-2,23,kalkbrenner2.23,B,Major,11,M11,kalkbren2.11maj,,,370,,
Kalkbrenner,2,kalkbrenner-2,24,kalkbrenner2.24,B,minor,11,m11,kalkbren2.11min,,,371,0.375,
Kapustin,1,kapustin-1,1,kapustin1.1,C,Major,0,M0,kapustin1.0maj,,I,373,,
